county,year,irrigation,site,trial,data_planted,date_harvested,weather_site,weather_tile,weather_latitude,weather_longitude,weather_altitude,weather_yr,weather_yday,dayl_s,prcp_mm_day,srad_w_m_2,swe_kg_m_2,tmax_deg_c,tmin_deg_c,vp_pa,max_t,min_t,gdd,d_solar_rad_MJ_M2,tmed_deg_c,d_year_pl,d_year_ha,acu_dsolarrad_MJ_m2,acu_gdd,cicle_acu_solar_total,cicle_acu_gdd,cicle_acu_pp,ciclelength,cicle_tmed,cicle_tmax,cicle_tmin,cicle_vppa,stage,stage_duration,stage_acu_radsolar,stage_acu_gdd,stage_acu_pp,stage_tmed,stage_tmin,stage_tmax,stage_vp
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,2020-05-11T00:00:00Z,2020-10-27T00:00:00Z,Tift,10849,31.4899,-83.5177,121,2020,132,48722.21,0,509.11,0,25.74,9.56,1191.69,78.332,49.208,9.165999999999997,24.8049643331,17.65,132,301,24.8049643331,9.165999999999997,2886.0842486011,2772.48,605.68,169,25.27573529411765,30.783058823529412,19.76841176470588,2345.9432352941176,emergence,6,163.0405038664,85.383,3.07,21.158571428571427,13.061428571428571,29.255714285714284,1527.83
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,2020-05-11T00:00:00Z,2020-10-27T00:00:00Z,Tift,10849,31.4899,-83.5177,121,2020,133,48807.01,0,535.43,0,26.74,8.86,1136.69,80.132,47.948,10.066000000000003,26.1327373643,17.799999999999997,132,301,50.9377016974,19.232,2886.0842486011,2772.48,605.68,169,25.27573529411765,30.783058823529412,19.76841176470588,2345.9432352941176,emergence,6,163.0405038664,85.383,3.07,21.158571428571427,13.061428571428571,29.255714285714284,1527.83
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,2020-05-11T00:00:00Z,2020-10-27T00:00:00Z,Tift,10849,31.4899,-83.5177,121,2020,134,48890.3,0,523.25,0,29.49,11.63,1368.16,85.082,52.934,12.540999999999997,25.581849475000002,20.56,132,301,76.5195511724,31.772999999999996,2886.0842486011,2772.48,605.68,169,25.27573529411765,30.783058823529412,19.76841176470588,2345.9432352941176,emergence,6,163.0405038664,85.383,3.07,21.158571428571427,13.061428571428571,29.255714285714284,1527.83
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,2020-05-11T00:00:00Z,2020-10-27T00:00:00Z,Tift,10849,31.4899,-83.5177,121,2020,135,48972.05,0,478.3,0,29.53,14.07,1605.45,85.154,57.326,12.576999999999998,23.423331515,21.8,132,301,99.9428826874,44.349999999999994,2886.0842486011,2772.48,605.68,169,25.27573529411765,30.783058823529412,19.76841176470588,2345.9432352941176,emergence,6,163.0405038664,85.383,3.07,21.158571428571427,13.061428571428571,29.255714285714284,1527.83
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,2020-05-11T00:00:00Z,2020-10-27T00:00:00Z,Tift,10849,31.4899,-83.5177,121,2020,136,49052.22,0,492.91,0,30.54,13.94,1591.14,86.97200000000001,57.092,13,24.1783297602,22.24,132,301,124.1212124476,57.349999999999994,2886.0842486011,2772.48,605.68,169,25.27573529411765,30.783058823529412,19.76841176470588,2345.9432352941176,emergence,6,163.0405038664,85.383,3.07,21.158571428571427,13.061428571428571,29.255714285714284,1527.83
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,2020-05-11T00:00:00Z,2020-10-27T00:00:00Z,Tift,10849,31.4899,-83.5177,121,2020,137,49130.76,0,467.44,0,31.28,15.77,1790.57,88.304,60.385999999999996,13.192999999999998,22.9656824544,23.525,132,301,147.086894902,70.54299999999999,2886.0842486011,2772.48,605.68,169,25.27573529411765,30.783058823529412,19.76841176470588,2345.9432352941176,emergence,6,163.0405038664,85.383,3.07,21.158571428571427,13.061428571428571,29.255714285714284,1527.83
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,2020-05-11T00:00:00Z,2020-10-27T00:00:00Z,Tift,10849,31.4899,-83.5177,121,2020,138,49207.64,3.07,324.21,0,31.47,17.6,2011.11,88.646,63.68000000000001,14.840000000000003,15.953608964399999,24.535,132,301,163.0405038664,85.383,2886.0842486011,2772.48,605.68,169,25.27573529411765,30.783058823529412,19.76841176470588,2345.9432352941176,emergence,6,163.0405038664,85.383,3.07,21.158571428571427,13.061428571428571,29.255714285714284,1527.83
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,2020-05-11T00:00:00Z,2020-10-27T00:00:00Z,Tift,10849,31.4899,-83.5177,121,2020,139,49282.83,0,348.06,0,29.2,18.86,2176.8,84.56,65.94800000000001,15.254000000000005,17.1533818098,24.03,132,301,180.1938856762,100.637,2886.0842486011,2772.48,605.68,169,25.27573529411765,30.783058823529412,19.76841176470588,2345.9432352941176,vegetative,35,665.6526246602,573.413,170.35999999999999,24.875,19.43111111111111,30.31888888888889,2270.0647222222224
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,2020-05-11T00:00:00Z,2020-10-27T00:00:00Z,Tift,10849,31.4899,-83.5177,121,2020,140,49356.27,7.29,237.36,0,28.46,19.2,2223.84,83.22800000000001,66.56,14.894000000000005,11.715204247199999,23.83,132,301,191.9090899234,115.531,2886.0842486011,2772.48,605.68,169,25.27573529411765,30.783058823529412,19.76841176470588,2345.9432352941176,vegetative,35,665.6526246602,573.413,170.35999999999999,24.875,19.43111111111111,30.31888888888889,2270.0647222222224
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,2020-05-11T00:00:00Z,2020-10-27T00:00:00Z,Tift,10849,31.4899,-83.5177,121,2020,141,49427.94,19.27,220.95,0,25.34,17.14,1954.35,77.612,62.852000000000004,10.232,10.921103343,21.240000000000002,132,301,202.8301932664,125.763,2886.0842486011,2772.48,605.68,169,25.27573529411765,30.783058823529412,19.76841176470588,2345.9432352941176,vegetative,35,665.6526246602,573.413,170.35999999999999,24.875,19.43111111111111,30.31888888888889,2270.0647222222224
