county,year,irrigation,site,trial,variety,lintyield_lbac,lintyield_kgha,gto,color,staple,mic,strength_gtex,Leaf,Rd,b,trash,length_in,length_mm,uniformity,loan value,lint yield_loan value_100,q_score,s_score,lat,lon,alt,stage_duration_emergence,stage_duration_vegetative,stage_duration_squaring,stage_duration_flowering,stage_duration_cut_out,stage_duration_opening_bolls,stage_duration_total,stage_acu_radsolar_emergence,stage_acu_radsolar_vegetative,stage_acu_radsolar_squaring,stage_acu_radsolar_flowering,stage_acu_radsolar_cut_out,stage_acu_radsolar_opening_bolls,stage_acu_radsolar_total,stage_acu_gdd_emergence,stage_acu_gdd_vegetative,stage_acu_gdd_squaring,stage_acu_gdd_flowering,stage_acu_gdd_cut_out,stage_acu_gdd_opening_bolls,stage_acu_gdd_total,stage_acu_pp_emergence,stage_acu_pp_vegetative,stage_acu_pp_squaring,stage_acu_pp_flowering,stage_acu_pp_cut_out,stage_acu_pp_opening_bolls,stage_acu_pp_total,stage_tmed_emergence,stage_tmed_vegetative,stage_tmed_squaring,stage_tmed_flowering,stage_tmed_cut_out,stage_tmed_opening_bolls,stage_tmed_total,stage_tmin_emergence,stage_tmin_vegetative,stage_tmin_squaring,stage_tmin_flowering,stage_tmin_cut_out,stage_tmin_opening_bolls,stage_tmin_total,stage_tmax_emergence,stage_tmax_vegetative,stage_tmax_squaring,stage_tmax_flowering,stage_tmax_cut_out,stage_tmax_opening_bolls,stage_tmax_total,stage_vp_emergence,stage_vp_vegetative,stage_vp_squaring,stage_vp_flowering,stage_vp_cut_out,stage_vp_opening_bolls,stage_vp_total
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,1148.9121669254353,1287.7573417910232,39.28786964393482,52,38,4.1,31.6,3,67.7,9.1,0.3,1.18,29.972,83.1,NA,NA,31.635999999999996,NA,31.4899,-83.5177,121,6,35,23,22,33,45,169,163.0405038664,665.6526246602,454.9370224057,441.0344770385,526.1932678204,635.2263528098999,2886.0842486011,85.383,573.413,450.714,435.919,635.4739999999999,591.5770000000001,2772.48,3.07,170.36,64.72,42.48,156.52,168.53,605.68,21.158571428571427,24.875,27.451041666666665,28.105,27.167205882352945,22.268260869565218,25.27573529411765,13.061428571428571,19.43111111111111,22.022916666666667,22.17,22.01735294117647,17.01369565217391,19.76841176470588,29.255714285714284,30.31888888888889,32.87916666666667,34.04,32.317058823529415,27.52282608695652,30.783058823529412,1527.83,2270.0647222222224,2649.6125,2671.579565217391,2648.8379411764704,1984.6889130434784,2345.9432352941176
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,1165.4860183360909,1306.334130731244,41.145281018027575,41,35,5,30.5,3,75.2,8.2,0.3,1.1,27.94,81,NA,NA,30.42,NA,31.4899,-83.5177,121,6,35,23,22,33,45,169,163.0405038664,665.6526246602,454.9370224057,441.0344770385,526.1932678204,635.2263528098999,2886.0842486011,85.383,573.413,450.714,435.919,635.4739999999999,591.5770000000001,2772.48,3.07,170.36,64.72,42.48,156.52,168.53,605.68,21.158571428571427,24.875,27.451041666666665,28.105,27.167205882352945,22.268260869565218,25.27573529411765,13.061428571428571,19.43111111111111,22.022916666666667,22.17,22.01735294117647,17.01369565217391,19.76841176470588,29.255714285714284,30.31888888888889,32.87916666666667,34.04,32.317058823529415,27.52282608695652,30.783058823529412,1527.83,2270.0647222222224,2649.6125,2671.579565217391,2648.8379411764704,1984.6889130434784,2345.9432352941176
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,1116.3837392579876,1251.297878002968,36.73163418290855,41,38,4.8,31,3,74.8,8.3,0.3,1.18,29.972,82.5,NA,NA,31.661,NA,31.4899,-83.5177,121,6,35,23,22,33,45,169,163.0405038664,665.6526246602,454.9370224057,441.0344770385,526.1932678204,635.2263528098999,2886.0842486011,85.383,573.413,450.714,435.919,635.4739999999999,591.5770000000001,2772.48,3.07,170.36,64.72,42.48,156.52,168.53,605.68,21.158571428571427,24.875,27.451041666666665,28.105,27.167205882352945,22.268260869565218,25.27573529411765,13.061428571428571,19.43111111111111,22.022916666666667,22.17,22.01735294117647,17.01369565217391,19.76841176470588,29.255714285714284,30.31888888888889,32.87916666666667,34.04,32.317058823529415,27.52282608695652,30.783058823529412,1527.83,2270.0647222222224,2649.6125,2671.579565217391,2648.8379411764704,1984.6889130434784,2345.9432352941176
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,1199.1019009059537,1344.0124675321936,39.5729537366548,41,37,5,29.7,3,73.9,8.5,0.3,1.14,28.955999999999996,81.4,NA,NA,30.908,NA,31.4899,-83.5177,121,6,35,23,22,33,45,169,163.0405038664,665.6526246602,454.9370224057,441.0344770385,526.1932678204,635.2263528098999,2886.0842486011,85.383,573.413,450.714,435.919,635.4739999999999,591.5770000000001,2772.48,3.07,170.36,64.72,42.48,156.52,168.53,605.68,21.158571428571427,24.875,27.451041666666665,28.105,27.167205882352945,22.268260869565218,25.27573529411765,13.061428571428571,19.43111111111111,22.022916666666667,22.17,22.01735294117647,17.01369565217391,19.76841176470588,29.255714285714284,30.31888888888889,32.87916666666667,34.04,32.317058823529415,27.52282608695652,30.783058823529412,1527.83,2270.0647222222224,2649.6125,2671.579565217391,2648.8379411764704,1984.6889130434784,2345.9432352941176
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,NG 4936 B3XF,1094.2338828669958,1226.47122805683,37.94068270844991,41,37,4.9,29.6,3,73.1,8.5,0.3,1.14,28.955999999999996,83.2,NA,NA,31.143,NA,31.4899,-83.5177,121,6,35,23,22,33,45,169,163.0405038664,665.6526246602,454.9370224057,441.0344770385,526.1932678204,635.2263528098999,2886.0842486011,85.383,573.413,450.714,435.919,635.4739999999999,591.5770000000001,2772.48,3.07,170.36,64.72,42.48,156.52,168.53,605.68,21.158571428571427,24.875,27.451041666666665,28.105,27.167205882352945,22.268260869565218,25.27573529411765,13.061428571428571,19.43111111111111,22.022916666666667,22.17,22.01735294117647,17.01369565217391,19.76841176470588,29.255714285714284,30.31888888888889,32.87916666666667,34.04,32.317058823529415,27.52282608695652,30.783058823529412,1527.83,2270.0647222222224,2649.6125,2671.579565217391,2648.8379411764704,1984.6889130434784,2345.9432352941176
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,PHY 400 W3FE,1020.9520416970161,1144.3333312677803,38.68766404199475,41,36,4.6,32,4,73.1,8.4,0.7,1.13,28.701999999999995,81.9,NA,NA,30.985999999999994,NA,31.4899,-83.5177,121,6,35,23,22,33,45,169,163.0405038664,665.6526246602,454.9370224057,441.0344770385,526.1932678204,635.2263528098999,2886.0842486011,85.383,573.413,450.714,435.919,635.4739999999999,591.5770000000001,2772.48,3.07,170.36,64.72,42.48,156.52,168.53,605.68,21.158571428571427,24.875,27.451041666666665,28.105,27.167205882352945,22.268260869565218,25.27573529411765,13.061428571428571,19.43111111111111,22.022916666666667,22.17,22.01735294117647,17.01369565217391,19.76841176470588,29.255714285714284,30.31888888888889,32.87916666666667,34.04,32.317058823529415,27.52282608695652,30.783058823529412,1527.83,2270.0647222222224,2649.6125,2671.579565217391,2648.8379411764704,1984.6889130434784,2345.9432352941176
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,Px 5C45 W3FE,1278.2259013370733,1432.6985441534566,41.18792599805259,41,35,4.8,30.6,3,74.3,8.2,0.3,1.1,27.94,83.3,NA,NA,30.725,NA,31.4899,-83.5177,121,6,35,23,22,33,45,169,163.0405038664,665.6526246602,454.9370224057,441.0344770385,526.1932678204,635.2263528098999,2886.0842486011,85.383,573.413,450.714,435.919,635.4739999999999,591.5770000000001,2772.48,3.07,170.36,64.72,42.48,156.52,168.53,605.68,21.158571428571427,24.875,27.451041666666665,28.105,27.167205882352945,22.268260869565218,25.27573529411765,13.061428571428571,19.43111111111111,22.022916666666667,22.17,22.01735294117647,17.01369565217391,19.76841176470588,29.255714285714284,30.31888888888889,32.87916666666667,34.04,32.317058823529415,27.52282608695652,30.783058823529412,1527.83,2270.0647222222224,2649.6125,2671.579565217391,2648.8379411764704,1984.6889130434784,2345.9432352941176
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,ST 4990 B3XF,1182.329140691655,1325.2127318083878,37.10594315245478,41,38,4.9,30.5,3,74.2,7.8,0.4,1.18,29.972,83.2,NA,NA,31.741000000000003,NA,31.4899,-83.5177,121,6,35,23,22,33,45,169,163.0405038664,665.6526246602,454.9370224057,441.0344770385,526.1932678204,635.2263528098999,2886.0842486011,85.383,573.413,450.714,435.919,635.4739999999999,591.5770000000001,2772.48,3.07,170.36,64.72,42.48,156.52,168.53,605.68,21.158571428571427,24.875,27.451041666666665,28.105,27.167205882352945,22.268260869565218,25.27573529411765,13.061428571428571,19.43111111111111,22.022916666666667,22.17,22.01735294117647,17.01369565217391,19.76841176470588,29.255714285714284,30.31888888888889,32.87916666666667,34.04,32.317058823529415,27.52282608695652,30.783058823529412,1527.83,2270.0647222222224,2649.6125,2671.579565217391,2648.8379411764704,1984.6889130434784,2345.9432352941176
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,ST 5471 GLTP,1110.381040588561,1244.569757695217,37.67546322290848,41,37,4.6,31,3,75.7,7.3,0.4,1.14,28.955999999999996,81.7,NA,NA,30.982999999999997,NA,31.4899,-83.5177,121,6,35,23,22,33,45,169,163.0405038664,665.6526246602,454.9370224057,441.0344770385,526.1932678204,635.2263528098999,2886.0842486011,85.383,573.413,450.714,435.919,635.4739999999999,591.5770000000001,2772.48,3.07,170.36,64.72,42.48,156.52,168.53,605.68,21.158571428571427,24.875,27.451041666666665,28.105,27.167205882352945,22.268260869565218,25.27573529411765,13.061428571428571,19.43111111111111,22.022916666666667,22.17,22.01735294117647,17.01369565217391,19.76841176470588,29.255714285714284,30.31888888888889,32.87916666666667,34.04,32.317058823529415,27.52282608695652,30.783058823529412,1527.83,2270.0647222222224,2649.6125,2671.579565217391,2648.8379411764704,1984.6889130434784,2345.9432352941176
Tift,2020,dryland,Tift_2020,Tift_dryland_2020,CP 9608 B3XF,1043.4823804612115,1169.5864445969517,41.07442641298265,41,36,4.7,28.9,4,73.3,7.9,0.5,1.12,28.448,81.3,NA,NA,30.484,NA,31.4899,-83.5177,121,6,35,23,22,33,45,169,163.0405038664,665.6526246602,454.9370224057,441.0344770385,526.1932678204,635.2263528098999,2886.0842486011,85.383,573.413,450.714,435.919,635.4739999999999,591.5770000000001,2772.48,3.07,170.36,64.72,42.48,156.52,168.53,605.68,21.158571428571427,24.875,27.451041666666665,28.105,27.167205882352945,22.268260869565218,25.27573529411765,13.061428571428571,19.43111111111111,22.022916666666667,22.17,22.01735294117647,17.01369565217391,19.76841176470588,29.255714285714284,30.31888888888889,32.87916666666667,34.04,32.317058823529415,27.52282608695652,30.783058823529412,1527.83,2270.0647222222224,2649.6125,2671.579565217391,2648.8379411764704,1984.6889130434784,2345.9432352941176
